task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,n_deterministic_params,deterministic_labels,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,48,3,sum,12.608215795609643,10.531606819011444,4.918592656840982,9.938158784680743,23.58470871293134,6,6,0,,0.2922041950870637
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,49,3,sum,9.214968270977865,8.65614031635894,6.55099175432213,2.5328270683645515,19.67278132598076,6,6,0,,0.20765201683551782
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,0,3,sum,30.572621074618116,10.872493409555272,35.24804536549612,2.7880925969553805e-15,86.48412313099043,6,6,0,,0.3736673305305113
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,1,3,sum,19.088861563400883,18.152735200254533,13.33145497308131,1.206496075373891e-14,41.96230171824305,6,6,0,,0.35623647168197436
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,2,3,sum,10.264653866016245,8.841667146229168,9.043754185993896,0.0,23.833401406664002,6,6,0,,0.1962203096869878
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,3,3,sum,45.48451320999698,17.88329550218773,57.74719858564692,0.0,168.38465179226617,6,6,0,,0.4486006027967637
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,4,3,sum,7.5048668649514125,9.270759873982371,3.66587449450438,1.4102188207823924e-14,10.301673676621364,6,6,0,,0.15298476268402786
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,5,3,sum,31.360772751991338,20.833107920327787,27.51136891300601,6.247130427733335e-16,85.19058815055335,6,6,0,,0.458335606211103
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,6,3,sum,36.82919564967139,32.74016572595666,29.716682991545753,0.0,83.73914650427041,6,6,0,,0.5016246585958604
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,7,3,sum,42.061022564208,15.680225797618121,46.31069981810674,3.1034900395418933e-16,112.89668589677325,6,6,0,,0.4343069620777876
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,8,3,sum,32.98853215031934,16.12013445546484,35.039985247799606,0.0,92.37540987745048,6,6,0,,0.40274209186982207
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,9,3,sum,24.331899174178925,19.715676125734706,22.29350263739582,3.211229918367516e-15,54.2714784732256,6,6,0,,0.37828474594955797
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,10,3,sum,17.925200266244634,18.899326420602222,11.114479180609695,0.0,33.92788942554463,6,6,0,,0.3251345445651194
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,11,3,sum,24.08323045111307,23.802109285221206,20.903642861511695,0.0,60.712466795827815,6,6,0,,0.3951148480041506
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,12,3,sum,43.94144349169492,16.247973098699582,57.35631673387076,2.5745967251977144e-15,160.80463466604795,6,6,0,,0.41296934363219395
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,13,3,sum,4.177733246868075,3.9339252573549914,3.819746432584022,0.0,9.894207852969302,6,6,0,,0.09134345745040133
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,14,3,sum,15.305638531710358,14.34276688324268,11.820798047954906,0.0,33.19198992969694,6,6,0,,0.2865489452937809
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,15,3,sum,23.49300763238624,15.865620923099616,25.274390402840986,2.8647930317458127e-15,75.61999743116561,6,6,0,,0.3476265585556111
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,16,3,sum,28.043493038130084,27.481342227712688,15.216202643271327,1.3876400664944457e-15,48.91613459699381,6,6,0,,0.4760622366169127
tfim_h0.5,"TFIM (J=1, h=0.5)",2,3,local_cost_only,Local cost function only,17,3,sum,31.721879504639247,30.71348270973305,23.298397612308886,1.3758239345714417e-15,70.47864086615368,6,6,0,,0.4848166951838057
